feed_id,uid,ptid,likes,comments,post_age,textlength,hashtags,latitude,longitude,urls,RankScore
405796,1eed629e-7157-4334-a309-ef59f11ac6b5,7aedb11337a845e999c8289ad71744fd,7,0,170469,1.0,0.0,21.123801,72.856533,1,8.016240643974623e-34
406146,0323f1a5-b3ec-434b-9cfc-75bc32fb0638,726d12596d7d4a1fa56bbeded4ba2297,17,2,169323,2.0,0.0,10.348363,76.223107,1,8.015424228617797e-34
405979,d7ed6681-21bd-4f09-969e-26653d3870c3,a46235f4659442d49f1d52474c474b5b,15,4,169848,34.0,0.0,-2.023641,112.799704,1,8.014551421973424e-34
404642,18db642f-e9a3-4961-b21b-f973c5c067d3,e1576f3ee17343fca1328bbc63a57e98,8,0,173466,129.0,5.0,25.26768,55.307235999999996,4,8.007924023224258e-34
405794,1eed629e-7157-4334-a309-ef59f11ac6b5,fb4b6697292c4321910f2d47ae84b46f,5,0,170472,1.0,0.0,21.123801,72.856533,1,8.005114704548926e-34
405791,1eed629e-7157-4334-a309-ef59f11ac6b5,1b209e345c4a43dd82a8f34a12cbfd9d,14,0,170473,1.0,0.0,21.123801,72.856533,1,8.001409490680962e-34
405792,1eed629e-7157-4334-a309-ef59f11ac6b5,7de7b322fc4e4e1a9f16012fd66aab6b,4,0,170473,1.0,0.0,21.123801,72.856533,1,8.001409490680962e-34
405677,e88a3691-cef6-4b36-a17f-c16d4df41e1a,a6f4f632d44d47c5927661b8262427ac,11,2,170807,4.0,0.0,21.896103,95.99850500000001,1,7.987837345284851e-34
405181,1634c329-eebe-4cb8-b762-94b4f889cc22,36b2e19f8a88455f8572335f47a1245f,25,1,172046,18.0,0.0,35.776764,139.631075,1,7.986902968444604e-34
405996,6dd17f8b-89e9-4608-83f4-b846a161f07b,4028218f494044b7b75b9f3382719125,36,18,169796,21.0,1.0,-7.311214,112.781559,1,7.967015564590922e-34
405482,f063dacf-7709-411b-aa97-f1ac2b08a8c2,da9c5abbdf0940a9b3ad47b305a4ed12,3,0,171411,84.0,6.0,-8.259605,114.33728400000001,1,7.948613061427256e-34
405736,1171bb74-abf0-4153-aaa2-a35fc2f5e418,a7e2e62af1d24b9ca107e70277a827f9,15,3,170625,15.0,0.0,14.063683,100.65857199999999,5,7.945211238504156e-34
405199,d241a47f-f2bd-4df2-8454-48752dacb773,107adb8e1588408ea5db78e364d45848,8,3,172017,68.0,1.0,10.32019,123.917658,1,7.931379551097691e-34
404941,9072bbc5-b1ca-4d5a-a9f2-22ea58a712b9,13a51f67813b42faa048583b8d5f05e5,15,3,172732,76.0,0.0,24.242106,90.524565,3,7.904639831853973e-34
405511,4a925f4edf5746049cd36cbb75856c81,dafbd03e801046b7991820aefff30641,22,5,171284,37.0,0.0,10.685097,122.51040800000001,1,7.888366172572841e-34
405003,a53cd648-eedd-40f2-a71f-6240e61a0c60,26df840d2c814d3999c2aec7fc9f39dd,20,3,172474,56.0,3.0,24.488039,54.359667,1,7.87633825407404e-34
404691,dadd054a-71ad-48b3-ad42-7e1a08f474fa,ac2fc38b8c6f4fcc88f66e3ea4996009,29,4,173374,53.0,0.0,54.557241000000005,-1.321438,3,7.87340379790837e-34
405813,ceacbfdf-278c-40ac-b035-97d55bb46462,98364f7013354a19a2dccc71d741e734,0,0,170397,43.0,0.0,1.103566,104.356501,1,7.868240214155871e-34
405790,e4823d4d-9310-42bb-8553-6821ad03d85c,bf071d1ad0b64eafad7863ab3da5f3a9,6,2,170475,20.0,0.0,10.766473,106.690234,1,7.86283665238849e-34
404175,ab0b8ccd-9404-44e9-85fa-517dba5e70da,04607ac49a1e4a0ab04c54194425070b,19,1,174684,226.0,7.0,42.253448999999996,-89.127179,1,7.860264234353236e-34
404992,1634c329-eebe-4cb8-b762-94b4f889cc22,8fd212f7f73940ea855c7ac2542aed6b,34,4,172508,35.0,0.0,35.666321,139.730997,1,7.85294644594179e-34
405412,0d1c5702-b0d7-4210-aa65-6e5c6607f328,9199d02e3b194a549c62cffb48d11792,1,2,171612,20.0,0.0,25.394904999999998,55.451813,4,7.846796653042255e-34
405523,06958239-2880-40b0-a444-33e0002c7964,1d4165862b274a0684134b05ecf92d3e,10,8,171237,2.0,0.0,23.462394,73.303639,1,7.84458666589816e-34
405620,27698d6c-b393-4c85-bf80-ceb966fd85ea,1b6da3c8ddb14338bcf9fc90fa9fc123,26,3,170945,27.0,0.0,11.987492999999999,121.907876,3,7.844283345800258e-34
404845,e4d28baf-5b3b-4fda-be44-6db8b0b3ba1d,e22e1fffdf8b4fdba337747c9dca3118,13,0,173012,46.0,0.0,47.55658,19.254969,1,7.817481226410255e-34
404907,8fbaa6ae-4a48-4fc8-b10b-0d9fcdecc92d,0922ec41488945c2b6d630d6ac8691dc,3,0,172825,63.0,0.0,34.188841,-118.417671,3,7.81207088183261e-34
405450,0045c8d7-1fba-48b8-a05b-203bf54d0348,106d0c7e8e4e494ba8434c13f575a8e6,7,0,171509,1.0,0.0,33.560688,-7.531516000000001,1,7.808181382697817e-34
404803,9a8353fb-f895-4860-9a07-a888b4139ca3,7900ae2ed0a14345b0624f30314e97ac,10,0,173140,46.0,0.0,51.57955,0.16478099999999998,2,7.801732630230792e-34
405063,60349b04-59ee-4e22-8f9b-a55fa0fed316,390f7d35236240a7bb4243b7112fe457,1,0,172284,72.0,0.0,16.084052,120.347159,1,7.782632650537323e-34
404859,9d357320-20f3-45e0-9f58-3bb63446bb3b,5f67525d1a314210aa7d7f8aa43b3720,4,0,172970,43.0,0.0,46.895385,-96.809573,1,7.735982239095796e-34
405789,e4823d4d-9310-42bb-8553-6821ad03d85c,b073614d79ea405584c968aa20a78925,28,4,170476,16.0,0.0,10.766473,106.690234,2,7.725190802984642e-34
405303,b2656645-ab92-446f-b04a-4c20fd464008,a8b7d2eb7e4d479bb4d8bb4986c9cf8d,12,5,171823,46.0,5.0,11.5617,104.85600000000001,1,7.703091853302356e-34
404275,0e425c75-1d21-486a-a0fa-9e34f621c821,bed86dfb103e4792aa2e26c9044c2e21,16,2,174428,221.0,0.0,28.217091999999997,-81.455196,5,7.681884533291544e-34
405243,c818af5a-e3ca-4de1-ad7b-fc095fab8eeb,168a01ffe5af4592a035461a0baa832f,11,0,171923,64.0,0.0,11.568271000000001,104.92244299999999,3,7.659138941752358e-34
404144,61242b93b3b04b21afaa424e32742441,e957428d022440c2a79f75738861021f,27,4,174731,259.0,0.0,28.645870000000002,77.180024,5,7.657602154456902e-34
405126,f10eb12c-7405-4fce-8fd9-24a57b3bfa4e,3730440ba7244978ace3a8d7d67c0dd7,21,3,172156,24.0,0.0,31.913431,35.882836,1,7.638231638757586e-34
404465,ddcf3740-cb95-4f6d-bc83-bdc30f07e958,99ca653125684eda8864dedeb757c906,63,9,173816,87.0,0.0,50.908638,-114.10046000000001,1,7.621681343173833e-34
404896,d43ff5f3-05e8-4b81-a8b3-c0bca2478f50,92afb35f0def44979d0a864fa9485219,4,0,172847,22.0,0.0,51.665021,-0.068593,1,7.60923594951071e-34
404895,d43ff5f3-05e8-4b81-a8b3-c0bca2478f50,f74461caae5441ea8b35e42efa248b38,0,0,172849,22.0,0.0,51.665021,-0.068593,1,7.602193621508741e-34
403468,5be210d9-5e3a-441c-9230-5d39f9be3f16,ef5c165519ec463fbca83d3bb80f5fa9,5,0,176747,817.0,11.0,-3.3281730000000005,37.340647,1,7.5412220949247046e-34
404920,9d357320-20f3-45e0-9f58-3bb63446bb3b,fc8acd79ddc345b69645835e75416ec3,5,2,172783,24.0,0.0,46.901604999999996,-96.81251,1,7.529877422699682e-34
405087,c8eb4dfc-6ff2-420d-bc6d-a6450ef9d89b,da85b39de5c9434a9aa549c8c73e1f1b,5,1,172241,12.0,0.0,39.864290000000004,32.746848,1,7.523786568718011e-34
403512,3f805fd4-fccf-40d8-8a2c-f1ab5275b6fd,b62d1f4d445246a0aca1b159689b57ff,25,9,176625,651.0,0.0,49.900317,2.311626,1,7.517360280372781e-34
405470,a40f1c0a-8de8-48b7-9612-0a72f9503d34,88c17f0d4f824b08a7a748d48c1a156b,9,1,171434,1.0,0.0,30.439838,-9.644401,5,7.5135054189075605e-34
404377,ddcf3740-cb95-4f6d-bc83-bdc30f07e958,bd12f20986914216ae1c9726619b9d26,0,0,174024,119.0,0.0,50.908638,-114.10046000000001,1,7.490740641172274e-34
