feed_id,uid,ptid,likes,comments,post_age,textlength,hashtags,latitude,longitude,urls,RankScore
403081,dadd054a-71ad-48b3-ad42-7e1a08f474fa,5c55b253565d40c8a8ac3654577f0bf3,29,4,177894,1.0,0.0,54.569517000000005,-1.32124,1,1.4708243825097603e-35
402448,b099a106-1894-4377-8fbb-9f901223f3fb,86a6724efd904dedade702e880aa2d73,18,9,179829,110.0,7.0,-8.658163,115.16271699999999,1,1.4704027442399837e-35
402929,2f04ed22-ecf6-483d-bdf1-f9276ca79e2c,a07333b5f7534e08b7f363d2dd9b8616,19,2,178325,36.0,0.0,25.440075,78.54355699999999,4,1.465207587415908e-35
403118,7e4d9064-b7c1-412d-a353-588840639590,dbc87a357e064a6b959474e25437ca62,19,5,177810,30.0,0.0,14.551376000000001,121.01820900000001,2,1.4641794225524272e-35
403788,0328f620-2fb7-47b4-bddf-0f14ec66af69,4ab88b874bef471280029751180ed8a1,18,1,175915,1.0,0.0,21.559977,39.193211,1,1.464094936882222e-35
402566,efe5d22f-f595-4c27-a084-5244301e9aac,a9bb918f2b6c45769e2fd0cc24248eff,13,1,179424,81.0,3.0,14.612360999999998,121.053873,1,1.4638678329296223e-35
404122,0240ef56-e774-48a9-a795-9a2e19835da6,e36836f790bc4b0fa4420461d4f3d108,2,0,174784,2.0,0.0,11.566218,104.92061499999998,5,1.4618870881369822e-35
403902,091b4a2e-c654-4cf9-9668-1ef5d1f90ed4,f8d915bfa06d4c029d473cc4c8703298,39,7,175431,1.0,0.0,10.8058,106.69600200000001,1,1.461754045249981e-35
402958,a21f4f49-83e2-4f60-9535-3bc26b392e20,b82ba8f11aed4479a98358b9fe7095eb,1,0,178236,45.0,0.0,12.941924,77.487973,3,1.4605727878279728e-35
402676,57c87274-46e4-42ac-8b66-b10f845ac022,94301a6946544fc69eba5663d133cd6a,142,5,179164,40.0,0.0,51.479766999999995,-0.112889,5,1.45877753023434e-35
403097,1e32f476-d76c-4254-97ee-8cd3ce831b69,6950605eb86242d987afe8abebc58035,15,8,177844,6.0,0.0,42.454921,21.471872,1,1.4584193536499103e-35
403275,499a71d1-252a-443c-afba-21d49cf000e5,a3b19b00e96445efb6de21dd0dfc4bad,27,5,177430,54.0,2.0,-27.470125,153.021072,1,1.452731504245181e-35
